truth_class,Predicted_class
drinking beer,drinking beer
drinking beer,writing
drinking beer,headbutting
drinking beer,smoking
drinking beer,tasting beer
drinking beer,drinking beer
drinking beer,drinking beer
drinking beer,grooming horse
drinking beer,drinking beer
drinking beer,drinking
drinking beer,tasting beer
drinking beer,flying kite
drinking beer,drinking shots
drinking beer,eating chips
drinking beer,making a sandwich
drinking beer,disc golfing
drinking beer,massaging person's head
drinking beer,tasting beer
drinking beer,beatboxing
drinking beer,drinking
drinking beer,smoking
drinking beer,tasting beer
drinking beer,tasting beer
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,reading newspaper
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,rock climbing
climbing tree,climbing tree
climbing tree,disc golfing
climbing tree,driving tractor
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,trimming trees
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
climbing tree,climbing tree
surfing water,surfing water
surfing water,sanding floor
surfing water,kitesurfing
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,water skiing
surfing water,applying cream
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,kitesurfing
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,water skiing
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,surfing water
surfing water,snowkiting
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,slacklining
stomping grapes,stomping grapes
stomping grapes,smoking
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,picking fruit
stomping grapes,answering questions
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,stomping grapes
stomping grapes,celebrating
stomping grapes,stomping grapes
stomping grapes,stomping grapes
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,robot dancing
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,salsa dancing
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,high kick
tai chi,tai chi
tai chi,tai chi
tai chi,tai chi
tai chi,playing volleyball
tai chi,hockey stop
tai chi,tai chi
tai chi,surfing water
tai chi,tai chi
tai chi,answering questions
tai chi,tai chi
cartwheeling,cartwheeling
cartwheeling,crying
cartwheeling,catching or throwing frisbee
cartwheeling,cleaning floor
cartwheeling,gymnastics tumbling
cartwheeling,tai chi
cartwheeling,somersaulting
cartwheeling,cartwheeling
cartwheeling,catching or throwing frisbee
cartwheeling,cartwheeling
cartwheeling,catching or throwing frisbee
cartwheeling,throwing axe
cartwheeling,cartwheeling
cartwheeling,cartwheeling
cartwheeling,balloon blowing
cartwheeling,stretching arm
cartwheeling,cartwheeling
cartwheeling,high jump
cartwheeling,singing
cartwheeling,drop kicking
cartwheeling,somersaulting
cartwheeling,cartwheeling
cartwheeling,cartwheeling
cartwheeling,cartwheeling
snorkeling,feeding fish
snorkeling,scuba diving
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,catching fish
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,diving cliff
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,swinging on something
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,scuba diving
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,answering questions
snorkeling,answering questions
snorkeling,snorkeling
snorkeling,diving cliff
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,feeding fish
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,snorkeling
snorkeling,snorkeling
tossing salad,peeling apples
tossing salad,cooking chicken
tossing salad,frying vegetables
tossing salad,making tea
tossing salad,cooking egg
tossing salad,tossing salad
tossing salad,opening bottle
tossing salad,scrambling eggs
tossing salad,stretching leg
tossing salad,arranging flowers
tossing salad,making sushi
tossing salad,frying vegetables
tossing salad,bookbinding
tossing salad,eating ice cream
tossing salad,tossing salad
tossing salad,baking cookies
tossing salad,tossing salad
tossing salad,eating chips
tossing salad,tossing coin
tossing salad,opening bottle
tossing salad,answering questions
tossing salad,barbequing
tossing salad,baking cookies
tossing salad,tossing salad
tossing salad,tossing salad
tossing salad,tossing salad
tossing salad,frying vegetables
tossing salad,making pizza
tossing salad,tossing salad
tossing salad,tossing salad
tossing salad,tossing salad
tossing salad,tossing salad
tossing salad,tossing salad
rock scissors paper,rock scissors paper
rock scissors paper,arm wrestling
rock scissors paper,sharpening pencil
rock scissors paper,rock scissors paper
rock scissors paper,abseiling
rock scissors paper,tossing coin
rock scissors paper,drumming fingers
rock scissors paper,juggling balls
rock scissors paper,rock scissors paper
rock scissors paper,arm wrestling
rock scissors paper,rock scissors paper
rock scissors paper,dodgeball
rock scissors paper,getting a tattoo
rock scissors paper,tai chi
rock scissors paper,rock scissors paper
rock scissors paper,counting money
rock scissors paper,using computer
rock scissors paper,high kick
rock scissors paper,slapping
building cabinet,building cabinet
building cabinet,building cabinet
building cabinet,sharpening knives
building cabinet,building cabinet
building cabinet,building cabinet
building cabinet,building cabinet
building cabinet,slapping
building cabinet,building cabinet
building cabinet,building cabinet
building cabinet,sanding floor
building cabinet,washing hands
building cabinet,building cabinet
building cabinet,trimming or shaving beard
building cabinet,building cabinet
building cabinet,building cabinet
building cabinet,wrapping present
building cabinet,building shed
building cabinet,plastering
building cabinet,building cabinet
building cabinet,building cabinet
building cabinet,building cabinet
building cabinet,bookbinding
building cabinet,tying knot (not on a tie)
building cabinet,building cabinet
building cabinet,building cabinet
grinding meat,grinding meat
grinding meat,grinding meat
grinding meat,grinding meat
grinding meat,sign language interpreting
grinding meat,grinding meat
grinding meat,barbequing
grinding meat,shredding paper
grinding meat,grinding meat
grinding meat,grinding meat
grinding meat,grinding meat
grinding meat,grinding meat
grinding meat,blasting sand
grinding meat,grinding meat
grinding meat,tai chi
grinding meat,welding
grinding meat,grinding meat
grinding meat,barbequing
grinding meat,grinding meat
grinding meat,grinding meat
grinding meat,digging
grinding meat,grinding meat
grinding meat,grinding meat
grinding meat,grinding meat
grinding meat,grinding meat
grinding meat,playing paintball
breakdancing,breakdancing
breakdancing,punching person (boxing)
breakdancing,breakdancing
breakdancing,breakdancing
breakdancing,somersaulting
breakdancing,breakdancing
breakdancing,breakdancing
breakdancing,somersaulting
breakdancing,robot dancing
breakdancing,breakdancing
breakdancing,headbanging
breakdancing,high kick
breakdancing,dancing ballet
breakdancing,breakdancing
breakdancing,dancing gangnam style
breakdancing,breakdancing
breakdancing,breakdancing
breakdancing,breakdancing
krumping,tai chi
krumping,breakdancing
krumping,krumping
krumping,robot dancing
krumping,breakdancing
krumping,krumping
krumping,krumping
krumping,robot dancing
krumping,breakdancing
krumping,krumping
krumping,krumping
krumping,krumping
krumping,krumping
krumping,krumping
krumping,tai chi
krumping,tai chi
krumping,playing poker
krumping,krumping
krumping,krumping
krumping,robot dancing
krumping,krumping
krumping,krumping
krumping,robot dancing
krumping,breakdancing
krumping,breakdancing
krumping,cleaning shoes
krumping,tap dancing
krumping,texting
krumping,krumping
krumping,dancing gangnam style
push up,cleaning windows
push up,bowling
push up,exercising with an exercise ball
push up,push up
push up,push up
push up,stretching arm
push up,push up
push up,push up
push up,push up
push up,drop kicking
push up,push up
push up,push up
push up,push up
push up,yoga
push up,bench pressing
push up,push up
push up,push up
push up,exercising with an exercise ball
push up,push up
push up,push up
push up,stretching leg
push up,push up
push up,stretching arm
push up,push up
tap dancing,tai chi
tap dancing,high kick
tap dancing,tai chi
tap dancing,tap dancing
tap dancing,tap dancing
tap dancing,tap dancing
tap dancing,tap dancing
tap dancing,tap dancing
tap dancing,headbanging
tap dancing,tap dancing
tap dancing,singing
tap dancing,tap dancing
tap dancing,tap dancing
tap dancing,dancing ballet
tap dancing,tap dancing
tap dancing,tai chi
tap dancing,tap dancing
tap dancing,tap dancing
tap dancing,air drumming
tap dancing,dancing ballet
tap dancing,tap dancing
tap dancing,krumping
tap dancing,tap dancing
bench pressing,bench pressing
bench pressing,bench pressing
bench pressing,pull ups
bench pressing,bench pressing
